Date,iv_call,skewness_call,iv_put,skewness_put,RSI,K,D,KDminus,macd,macd_signal,macd_hist,ma5,ma20,returns,returns_
2019-02-11,0.087442294,-0.012385555,0.02011242,-0.000143539,62.72109139001276,55.694450964694035,67.69133590423544,-11.99688493954141,70.01849904026312,46.94373923004129,23.074759810221835,9970.208008000001,9800.835498150002,0.007221980952965788,1.0
2019-02-12,0.000614444,-2.630861211,0.007685524,-0.007122676,67.3071379874973,70.69942553253331,64.24480350182834,6.454622030704968,80.90575865116443,53.736143114265914,27.16961553689852,9995.8339844,9836.597021550002,0.009301656898816468,1.0
2019-02-13,0.098231527,-0.001048,0.030726199,-0.01408622,66.62237514815618,80.89204722406573,69.09530790709776,11.796739316967972,87.94247942151378,60.57741037571549,27.365069045798293,10011.283984400001,9861.611035200001,-0.0007093365064123887,0.0
2019-02-14,0.051592204,-0.008082407,0.075963112,-0.031850403,66.46060611732074,85.30263444281549,78.96470239980492,6.337932043010568,92.3281191883525,66.92755213824289,25.400567050109615,10042.7679688,9887.881543050002,-0.00015563368882228143,1.0
2019-02-15,0.028712762000000003,-0.021983102999999997,0.064311648,-0.034395226,63.85091368425401,69.01100468948952,78.40189545212365,-9.390890762634129,92.7791523938431,72.09787218936293,20.681280204480174,10069.272070199999,9904.205078200002,-0.002404461357049599,0.0
2019-02-18,0.08447236400000001,-0.023182211,0.022344175,-0.056937009000000004,68.35466898266654,70.70344243786008,75.00569385672178,-4.302251418861701,98.49686613154881,77.37767097780011,21.119195153748706,10097.478124799998,9925.434570350004,0.007966371555175667,1.0
2019-02-19,0.015805157,-0.0033852879999999998,0.08207797,-0.010449532,68.7232354655923,72.20422634236671,70.63955782323886,1.5646685191278493,102.41085364534592,82.38430751130927,20.02654613403665,10108.382031199999,9945.077539100002,0.0006877181433486177,0.0
2019-02-20,0.041824024,-0.024696691,0.022588529,-0.028889084,74.33837132982491,88.89827830397711,77.26864902806805,11.629629275909053,113.89891236817493,88.6872284826824,25.211683885492533,10144.7580078,9973.289550800004,0.011770206327647548,1.0
2019-02-21,0.007263151999999999,0.004342989,0.077728092,-0.022566599,76.16630444835758,94.00694807066886,85.03648423900431,8.970463831664546,125.3564315570784,96.0210690975616,29.3353624595168,10190.8621092,9998.964062500007,0.004571718755523465,0.0
2019-02-22,0.06979176200000001,-0.0028282259999999997,0.09132225199999999,-0.00575204,76.29893396243659,100.0,94.30174212488207,5.698257875117932,133.17495640813286,103.45184655967584,29.723109848457014,10242.490039,10026.919580100006,0.000328415376900053,0.0
2019-02-25,0.00430674,-0.13915728300000002,0.052387619,-0.028385723999999998,78.87232408606405,100.0,98.00231602355636,1.9976839764436392,143.2081984491797,111.40311693757661,31.805081511603078,10291.619922000002,10057.008544950006,0.006566622010398787,1.0
2019-02-26,0.077170305,-0.000300283,0.080962508,-0.023797616,78.89511761682057,96.4023236196253,98.80077453987518,-2.3984509202498714,149.48646637935417,119.01978682593213,30.46667955342204,10339.477929800001,10084.783056700004,5.967690240176343e-05,0.0
2019-02-27,0.038092,-0.001752294,0.014832281000000001,-0.056192705,78.54036685829728,90.63679711237194,95.67970691066581,-5.042909798293877,152.51193957388568,125.71821737552284,26.793722198362843,10362.819922,10109.771533250005,-0.00022904721700413853,0.0
2019-03-04,0.006275941,-0.14439575699999999,0.0361265,-0.002333421,72.65649680125783,75.43304761400798,87.49072278200181,-12.057675167993835,150.01004862858827,130.5765836261359,19.43346500245235,10368.889844000001,10132.532519600003,-0.0037889957712623885,0.0
2019-03-05,0.06919963900000001,-0.026923272999999998,0.050495362,-0.01336687,66.48577862220594,48.39198141035224,71.4872753789108,-23.095293968558558,142.78092190359894,133.01745128162852,9.763470621970413,10365.357812800003,10155.475488350003,-0.004320492348853565,0.0
2019-03-06,0.072712472,-0.037904812,0.018862525,-0.081894532,69.74561868109201,37.75842452240062,53.861151182253685,-16.10272665985307,139.62936624266877,134.33983427383657,5.289531968832193,10358.601953400002,10179.477002050004,0.0050227184240141205,1.0
2019-03-07,0.037943227999999996,-0.008035342,0.072651976,-0.015054861000000001,63.81223488392504,24.659151475873106,36.93651913620873,-12.277367660335624,131.9416883061258,133.8602050802944,-1.9185167741686087,10342.627930000002,10196.580468850003,-0.004399937121112569,0.0
2019-03-08,0.0019380520000000002,-0.001723355,0.067126867,-0.025091400000000003,55.84209897593456,28.27870246468548,30.23209282098648,-1.953390356301,118.83653317856442,130.8554706999484,-12.018937521383975,10313.143945600003,10208.001464950004,-0.006804699643447831,0.0
2019-03-11,0.023826637,-0.0098549,0.06601036,-0.050301923,56.564038979795285,20.72145871296199,24.55310421784027,-3.8316455048782814,107.89517662929575,126.26341188581787,-18.368235256522127,10293.224023600002,10223.935986400003,0.0008325454705145382,1.0
2019-03-12,0.020435942,-0.039677778,0.077189258,-0.052158144000000004,63.63825749503253,41.75676068995072,30.25230728919948,11.504453400751238,105.51609053936409,122.11394761652711,-16.597857077163027,10300.838086,10244.489502000004,0.009036826146544887,1.0
2019-03-13,0.072269912,-0.000648224,0.074483619,-0.032965927,65.60769962244423,67.12721672900409,43.201812043972346,23.925404685031744,104.84205504965212,118.65956910315211,-13.817514053499991,10304.072070400001,10262.943017650005,0.0028952804033247066,0.0
